index;q;r;shape;fuel_type;pos_label;factory_id
306;7;-1;circle;0;19-11;
307;7;0;circle;0;19-12;
308;7;1;circle;0;19-13;
309;7;2;circle;0;19-14;
310;7;3;circle;0;19-15;
311;7;4;circle;0;19-16;
312;8;-10;circle;0;20-1;
313;8;-9;circle;0;20-2;
314;8;-8;circle;0;20-3;
315;8;-7;circle;0;20-4;
316;8;-6;circle;0;20-5;
317;8;-5;circle;0;20-6;
318;8;-4;circle;0;20-7;
319;8;-3;circle;0;20-8;
320;8;-2;circle;0;20-9;
321;8;-1;circle;0;20-10;
322;8;0;circle;0;20-11;
323;8;1;circle;0;20-12;
324;8;2;circle;0;20-13;
325;9;-10;circle;0;21-1;
326;9;-9;circle;0;21-2;
327;9;-8;circle;0;21-3;
328;9;-7;circle;0;21-4;
329;9;-6;circle;0;21-5;
330;9;-5;circle;0;21-6;
331;9;-4;circle;0;21-7;
332;9;-3;circle;0;21-8;
333;9;-2;circle;0;21-9;
334;9;-1;circle;0;21-10;
335;9;0;circle;0;21-11;
336;9;1;circle;0;21-12;
337;10;-9;circle;0;22-1;
338;10;-8;circle;0;22-2;
339;10;-7;circle;0;22-3;
340;10;-6;circle;0;22-4;
341;10;-5;circle;0;22-5;
342;10;-4;circle;0;22-6;
343;10;-3;circle;0;22-7;
344;10;-2;circle;0;22-8;
345;10;-1;circle;0;22-9;
346;11;-7;circle;0;23-1;
347;11;-6;circle;0;23-2;
348;11;-5;circle;0;23-3;
349;11;-4;circle;0;23-4;
