index;q;r;shape;fuel_type;pos_label;factory_id
109;-3;-7;circle;8;9-1;283
110;-3;-6;circle;5;9-2;197
111;-3;-5;circle;4;9-3;70
112;-3;-4;circle;1;9-4;341
113;-3;-3;circle;4;9-5;79
114;-3;-2;circle;4;9-6;85
115;-3;-1;circle;3;9-7;52
116;-3;0;circle;3;9-8;53
117;-3;1;circle;3;9-9;50
118;-3;2;circle;3;9-10;34
119;-3;3;circle;3;9-11;29
120;-3;4;circle;3;9-12;27
121;-3;5;circle;4;9-13;64
122;-3;6;circle;4;9-14;131
123;-3;7;circle;1;9-15;332
124;-3;8;circle;4;9-16;118
125;-3;9;circle;5;9-17;214
126;-3;10;circle;8;9-18;278
127;-2;-8;circle;7;10-1;300
128;-2;-7;circle;5;10-2;199
129;-2;-6;circle;4;10-3;71
130;-2;-5;circle;4;10-4;67
131;-2;-4;circle;4;10-5;135
132;-2;-3;circle;4;10-6;137
133;-2;-2;circle;3;10-7;54
134;-2;-1;circle;3;10-8;55
135;-2;0;circle;2;10-9;3
136;-2;1;circle;2;10-10;2
137;-2;2;circle;2;10-11;10
138;-2;3;circle;3;10-12;46
139;-2;4;circle;3;10-13;24
140;-2;5;circle;4;10-14;62
141;-2;6;circle;4;10-15;159
142;-2;7;circle;4;10-16;167
143;-2;8;circle;4;10-17;72
144;-2;9;circle;5;10-18;215
145;-2;10;circle;7;10-19;327
146;-1;-9;circle;7;11-1;317
147;-1;-8;circle;6;11-2;256
148;-1;-7;circle;5;11-3;179
149;-1;-6;circle;4;11-4;68
150;-1;-5;circle;4;11-5;96
151;-1;-4;circle;4;11-6;154
152;-1;-3;circle;3;11-7;38
153;-1;-2;circle;3;11-8;51
154;-1;-1;circle;2;11-9;18
155;-1;0;circle;2;11-10;4
156;-1;1;circle;2;11-11;8
157;-1;2;circle;2;11-12;7
158;-1;3;circle;3;11-13;23
159;-1;4;circle;3;11-14;45
160;-1;5;circle;4;11-15;63
161;-1;6;circle;4;11-16;92
162;-1;7;circle;4;11-17;143
163;-1;8;circle;5;11-18;185
164;-1;9;circle;6;11-19;238
165;-1;10;circle;10;11-20;349
166;0;-9;circle;7;12-1;306
167;0;-8;circle;5;12-2;180
168;0;-7;circle;4;12-3;69
169;0;-6;circle;4;12-4;129
170;0;-5;circle;4;12-5;232
171;0;-4;circle;4;12-6;126P
172;0;-3;circle;3;12-7;28
173;0;-2;circle;2;12-8;16
174;0;-1;circle;2;12-9;5
175;0;0;circle;2;12-10;19P
176;0;1;circle;2;12-11;1
177;0;2;circle;2;12-12;11
178;0;3;circle;3;12-13;42
179;0;4;circle;4;12-14;74
180;0;5;circle;4;12-15;61
181;0;6;circle;4;12-16;95
182;0;7;circle;4;12-17;231
183;0;8;circle;5;12-18;217
184;0;9;circle;7;12-19;320
185;1;-10;circle;10;13-1;348
186;1;-9;circle;6;13-2;258
187;1;-8;circle;5;13-3;224
188;1;-7;circle;4;13-4;128
189;1;-6;circle;4;13-5;78
190;1;-5;circle;4;13-6;152
191;1;-4;circle;3;13-7;49
192;1;-3;circle;3;13-8;36
193;1;-2;circle;2;13-9;15
194;1;-1;circle;2;13-10;6
195;1;0;circle;2;13-11;12
196;1;1;circle;2;13-12;9
197;1;2;circle;3;13-13;44
198;1;3;circle;3;13-14;41
199;1;4;circle;4;13-15;76
200;1;5;circle;4;13-16;161
201;1;6;circle;4;13-17;146
202;1;7;circle;5;13-18;201
203;1;8;circle;6;13-19;236
204;1;9;circle;7;13-20;301
205;2;-10;circle;7;14-1;315
206;2;-9;circle;5;14-2;190
207;2;-8;circle;4;14-3;81
208;2;-7;circle;4;14-4;130
209;2;-6;circle;4;14-5;77
210;2;-5;circle;4;14-6;100
211;2;-4;circle;3;14-7;39
212;2;-3;circle;3;14-8;25
213;2;-2;circle;2;14-9;13
214;2;-1;circle;2;14-10;14
215;2;0;circle;2;14-11;17
216;2;1;circle;3;14-12;33
217;2;2;circle;3;14-13;40
218;2;3;circle;4;14-14;90
219;2;4;circle;4;14-15;82
220;2;5;circle;4;14-16;148
221;2;6;circle;4;14-17;84
222;2;7;circle;5;14-18;220
223;2;8;circle;7;14-19;319
224;3;-10;circle;8;15-1;277
225;3;-9;circle;5;15-2;187
226;3;-8;circle;4;15-3;114
227;3;-7;circle;1;15-4;335
228;3;-6;circle;4;15-5;163
229;3;-5;circle;4;15-6;60
230;3;-4;circle;3;15-7;47
231;3;-3;circle;3;15-8;43
232;3;-2;circle;3;15-9;35
233;3;-1;circle;3;15-10;32
234;3;0;circle;3;15-11;31
235;3;1;circle;3;15-12;22
236;3;2;circle;4;15-13;104
237;3;3;circle;4;15-14;87
238;3;4;circle;1;15-15;331
239;3;5;circle;4;15-16;88
240;3;6;circle;5;15-17;208
241;3;7;circle;8;15-18;274
242;4;-11;circle;8;16-1;276
243;4;-10;circle;6;16-2;252
244;4;-9;circle;5;16-3;189
245;4;-8;circle;1;16-4;336
246;4;-7;circle;1;16-5;343
247;4;-6;circle;4;16-6;99
248;4;-5;circle;4;16-7;112
249;4;-4;circle;4;16-8;89
250;4;-3;circle;3;16-9;37
251;4;-2;circle;3;16-10;26
252;4;-1;circle;3;16-11;30
253;4;0;circle;4;16-12;86
254;4;1;circle;4;16-13;65
255;4;2;circle;4;16-14;165
256;4;3;circle;1;16-15;345
257;4;4;circle;1;16-16;330
258;4;5;circle;5;16-17;228
259;4;6;circle;6;16-18;254
260;4;7;circle;8;16-19;293
261;5;-11;circle;8;17-1;298
262;5;-10;circle;6;17-2;248
263;5;-9;circle;5;17-3;188
264;5;-8;circle;4;17-4;124
265;5;-7;circle;4;17-5;155
266;5;-6;circle;4;17-6;158
267;5;-5;circle;4;17-7;156
268;5;-4;circle;4;17-8;93
269;5;-3;circle;4;17-9;105
270;5;-2;circle;4;17-10;121
271;5;-1;circle;4;17-11;108
272;5;0;circle;4;17-12;235
273;5;1;circle;4;17-13;134
274;5;2;circle;4;17-14;151
275;5;3;circle;4;17-15;80
276;5;4;circle;5;17-16;223
277;5;5;circle;6;17-17;242
278;5;6;circle;8;17-18;279
279;6;-11;circle;8;18-1;280
280;6;-10;circle;6;18-2;253
281;6;-9;circle;5;18-3;196
282;6;-8;circle;4;18-4;125
283;6;-7;circle;4;18-5;139
284;6;-6;circle;4;18-6;147
285;6;-5;circle;4;18-7;170
286;6;-4;circle;4;18-8;136
287;6;-3;circle;4;18-9;142
288;6;-2;circle;4;18-10;153
289;6;-1;circle;4;18-11;172
290;6;0;circle;4;18-12;141
291;6;1;circle;4;18-13;173
292;6;2;circle;4;18-14;117
293;6;3;circle;5;18-15;207
294;6;4;circle;6;18-16;243
295;6;5;circle;8;18-17;272
296;7;-11;circle;8;19-1;287
297;7;-10;circle;8;19-2;292
298;7;-9;circle;5;19-3;203
299;7;-8;circle;5;19-4;209
300;7;-7;circle;4;19-5;234
301;7;-6;circle;4;19-6;171
302;7;-5;circle;4;19-7;138
303;7;-4;circle;1;19-8;340
304;7;-3;circle;1;19-9;328
305;7;-2;circle;4;19-10;150
306;7;-1;circle;4;19-11;133
307;7;0;circle;4;19-12;162
308;7;1;circle;5;19-13;218
309;7;2;circle;5;19-14;206
310;7;3;circle;8;19-15;267
311;7;4;circle;8;19-16;268
312;8;-10;circle;7;20-1;314
313;8;-9;circle;6;20-2;247
314;8;-8;circle;5;20-3;186
315;8;-7;circle;5;20-4;225
316;8;-6;circle;4;20-5;83
317;8;-5;circle;4;20-6;58
318;8;-4;circle;1;20-7;334
319;8;-3;circle;4;20-8;120
320;8;-2;circle;4;20-9;110
321;8;-1;circle;5;20-10;219
322;8;0;circle;5;20-11;213
323;8;1;circle;6;20-12;239
324;8;2;circle;7;20-13;270
325;9;-10;circle;7;21-1;318
326;9;-9;circle;7;21-2;302
327;9;-8;circle;6;21-3;259
328;9;-7;circle;5;21-4;178
329;9;-6;circle;5;21-5;211
330;9;-5;circle;5;21-6;205
331;9;-4;circle;5;21-7;200
332;9;-3;circle;5;21-8;210
333;9;-2;circle;5;21-9;222
334;9;-1;circle;6;21-10;237
335;9;0;circle;7;21-11;271
336;9;1;circle;7;21-12;269
337;10;-9;circle;7;22-1;311
338;10;-8;circle;7;22-2;307
339;10;-7;circle;8;22-3;295
340;10;-6;circle;6;22-4;255
341;10;-5;circle;6;22-5;266
342;10;-4;circle;6;22-6;246
343;10;-3;circle;8;22-7;285
344;10;-2;circle;7;22-8;312
345;10;-1;circle;7;22-9;299
346;11;-7;circle;8;23-1;286
347;11;-6;circle;8;23-2;290
348;11;-5;circle;8;23-3;289
349;11;-4;circle;9;23-4;346
